project_created,machine_name,uid,latest_scraping_unixtime,bugreports_open_count,automated_tests_enabled,development_status,participants_count,new_issues_count,image_urls,bugreports_total_count,official_snapshot_full_path,images,top_position,maintenance_status,description,nid,issues_total_count,title,url,project_modified,downloads_count,visible_name,uid_reference,issues_open_count,node_alias,reported_installs_count
,menu,,,,,,,,,,,,core,,<,,,menu,,,,Menu,,,project/menu,
,poll,,,,,,,,,,,,core,,<,,,poll,,,,Poll,,,project/poll,
,node,,,,,,,,,,,,core,,<,,,node,,,,Node,,,project/node,
,statistics,,,,,,,,,,,,core,,<,,,statistics,,,,Statistics,,,project/statistics,
,system,,,,,,,,,,,,core,,<,,,system,,,,System,,,project/system,
,update,,,,,,,,,,,,core,,<,,,update,,,,Update status,,,project/update,
,syslog,,,,,,,,,,,,core,,<,,,syslog,,,,Syslog,,,project/syslog,
,aggregator,,,,,,,,,,,,core,,<,,,aggregator,,,,Aggregator,,,project/aggregator,
,upload,,,,,,,,,,,,core,,<,,,upload,,,,Upload,,,project/upload,
,book,,,,,,,,,,,,core,,<,,,book,,,,Book,,,project/book,
,block,,,,,,,,,,,,core,,<,,,block,,,,Block,,,project/block,
,translation,,,,,,,,,,,,core,,<,,,translation,,,,Content translation,,,project/translation,
,filter,,,,,,,,,,,,core,,<,,,filter,,,,Filter,,,project/filter,
,blog,,,,,,,,,,,,core,,<,,,blog,,,,Blog,,,project/blog,
,dblog,,,,,,,,,,,,core,,<,,,dblog,,,,Database logging,,,project/dblog,
,taxonomy,,,,,,,,,,,,core,,<,,,taxonomy,,,,Taxonomy,,,project/taxonomy,
,contact,,,,,,,,,,,,core,,<,,,contact,,,,Contact,,,project/contact,
,path,,,,,,,,,,,,core,,<,,,path,,,,Path,,,project/path,
,php,,,,,,,,,,,,core,,<,,,php,,,,PHP filter,,,project/php,
,tracker,,,,,,,,,,,,core,,<,,,tracker,,,,Tracker,,,project/tracker,
,locale,,,,,,,,,,,,core,,<,,,locale,,,,Locale,,,project/locale,
,color,,,,,,,,,,,,core,,<,,,color,,,,Color,,,project/color,
,ping,,,,,,,,,,,,core,,<,,,ping,,,,Ping,,,project/ping,
,help,,,,,,,,,,,,core,,<,,,help,,,,Help,,,project/help,
,throttle,,,,,,,,,,,,core,,<,,,throttle,,,,Throttle,,,project/throttle,
,openid,,,,,,,,,,,,core,,<,,,openid,,,,OpenID,,,project/openid,
,forum,,,,,,,,,,,,core,,<,,,forum,,,,Forum,,,project/forum,
,profile,,,,,,,,,,,,core,,<,,,profile,,,,Profile,,,project/profile,
,blogapi,,,,,,,,,,,,core,,<,,,blogapi,,,,Blog API,,,project/blogapi,
,comment,,,,,,,,,,,,core,,<,,,comment,,,,Comment,,,project/comment,
,search,,,,,,,,,,,,core,,<,,,search,,,,Search,,,project/search,
,user,,,,,,,,,,,,core,,<,,,user,,,,User,,,project/user,
,trigger,,,,,,,,,,,,core,,<,,,trigger,,,,Trigger,,,project/trigger,
