from_module_machine_name,description,quality,version_major,from_version,from_project_machine_name,to_module_machine_name,from_project_reference,title,from_module_reference
translation,NA,ok,6,6.26,translation,locale,translation,Module translation 6-ok from project translation depends on module locale,Module translation 6-ok from project translation
tracker,NA,ok,6,6.26,tracker,comment,tracker,Module tracker 6-ok from project tracker depends on module comment,Module tracker 6-ok from project tracker
forum,NA,ok,6,6.26,forum,taxonomy,forum,Module forum 6-ok from project forum depends on module taxonomy,Module forum 6-ok from project forum
forum,NA,ok,6,6.26,forum,comment,forum,Module forum 6-ok from project forum depends on module comment,Module forum 6-ok from project forum
og_subgroups,NA,ok,6,6.x-1.0-beta3,og_subgroups,og,og_subgroups,Module og_subgroups 6-ok from project og_subgroups depends on module og,Module og_subgroups 6-ok from project og_subgroups
og_subgroups_context,NA,ok,6,6.x-1.0-beta3,og_subgroups,og_subgroups,og_subgroups,Module og_subgroups_context 6-ok from project og_subgroups depends on module og_subgroups,Module og_subgroups_context 6-ok from project og_subgroups
og_subgroups_context,NA,ok,6,6.x-1.0-beta3,og_subgroups,context,og_subgroups,Module og_subgroups_context 6-ok from project og_subgroups depends on module context,Module og_subgroups_context 6-ok from project og_subgroups
og_subgroups_hs,NA,ok,6,6.x-1.0-beta3,og_subgroups,hierarchical_select,og_subgroups,Module og_subgroups_hs 6-ok from project og_subgroups depends on module hierarchical_select,Module og_subgroups_hs 6-ok from project og_subgroups
og_subgroups_hs,NA,ok,6,6.x-1.0-beta3,og_subgroups,og_subgroups,og_subgroups,Module og_subgroups_hs 6-ok from project og_subgroups depends on module og_subgroups,Module og_subgroups_hs 6-ok from project og_subgroups
og_subgroups_views,NA,ok,6,6.x-1.0-beta3,og_subgroups,views,og_subgroups,Module og_subgroups_views 6-ok from project og_subgroups depends on module views,Module og_subgroups_views 6-ok from project og_subgroups
og_subgroups_views,NA,ok,6,6.x-1.0-beta3,og_subgroups,og_subgroups,og_subgroups,Module og_subgroups_views 6-ok from project og_subgroups depends on module og_subgroups,Module og_subgroups_views 6-ok from project og_subgroups
og_subgroups_prop,NA,ok,6,6.x-1.0-beta3,og_subgroups,og,og_subgroups,Module og_subgroups_prop 6-ok from project og_subgroups depends on module og,Module og_subgroups_prop 6-ok from project og_subgroups
og_subgroups_prop,NA,ok,6,6.x-1.0-beta3,og_subgroups,og_subgroups,og_subgroups,Module og_subgroups_prop 6-ok from project og_subgroups depends on module og_subgroups,Module og_subgroups_prop 6-ok from project og_subgroups
autodeploy,NA,ok,6,6.x-1.0-beta2,autodeploy,deploy,autodeploy,Module autodeploy 6-ok from project autodeploy depends on module deploy,Module autodeploy 6-ok from project autodeploy
autodeploy,NA,ok,6,6.x-1.0-beta2,autodeploy,node_deploy,autodeploy,Module autodeploy 6-ok from project autodeploy depends on module node_deploy,Module autodeploy 6-ok from project autodeploy
autodeploy,NA,ok,6,6.x-1.0-beta2,autodeploy,encrypt,autodeploy,Module autodeploy 6-ok from project autodeploy depends on module encrypt,Module autodeploy 6-ok from project autodeploy
vt_default,NA,ok,6,6.x-1.0-rc3,vt_default,vertical_tabs,vt_default,Module vt_default 6-ok from project vt_default depends on module vertical_tabs,Module vt_default 6-ok from project vt_default
og_expire,NA,ok,6,6.x-1.0,og_expire,og,og_expire,Module og_expire 6-ok from project og_expire depends on module og,Module og_expire 6-ok from project og_expire
og_expire,NA,ok,6,6.x-1.0,og_expire,views,og_expire,Module og_expire 6-ok from project og_expire depends on module views,Module og_expire 6-ok from project og_expire
inheritedformatter,NA,ok,6,6.x-1.1,inheritedformatter,content,inheritedformatter,Module inheritedformatter 6-ok from project inheritedformatter depends on module content,Module inheritedformatter 6-ok from project inheritedformatter
multiple_node_menu,NA,ok,6,6.x-1.0-beta4,multiple_node_menu,menu,multiple_node_menu,Module multiple_node_menu 6-ok from project multiple_node_menu depends on module menu,Module multiple_node_menu 6-ok from project multiple_node_menu
panel_style,NA,ok,6,6.x-1.0-beta1,panel_style,views,panel_style,Module panel_style 6-ok from project panel_style depends on module views,Module panel_style 6-ok from project panel_style
panel_style,NA,ok,6,6.x-1.0-beta1,panel_style,panels,panel_style,Module panel_style 6-ok from project panel_style depends on module panels,Module panel_style 6-ok from project panel_style
panel_style,NA,ok,6,6.x-1.0-beta1,panel_style,panels_mini,panel_style,Module panel_style 6-ok from project panel_style depends on module panels_mini,Module panel_style 6-ok from project panel_style
feedapi_parser_exhaustive,NA,ok,6,6.x-1.0-alpha5,feedapi_parser_exhaustive,feedapi,feedapi_parser_exhaustive,Module feedapi_parser_exhaustive 6-ok from project feedapi_parser_exhaustive depends on module feedapi,Module feedapi_parser_exhaustive 6-ok from project feedapi_parser_exhaustive
views_tagger,NA,ok,6,6.x-1.6,views_tagger,taxonomy,views_tagger,Module views_tagger 6-ok from project views_tagger depends on module taxonomy,Module views_tagger 6-ok from project views_tagger
views_tagger,NA,ok,6,6.x-1.6,views_tagger,views,views_tagger,Module views_tagger 6-ok from project views_tagger depends on module views,Module views_tagger 6-ok from project views_tagger
dr_whitelist,NA,ok,6,6.x-1.0-rc1,dr_whitelist,comment,dr_whitelist,Module dr_whitelist 6-ok from project dr_whitelist depends on module comment,Module dr_whitelist 6-ok from project dr_whitelist
beanstalkd,NA,ok,6,6.x-1.0-rc1,beanstalkd,drupal_queue,beanstalkd,Module beanstalkd 6-ok from project beanstalkd depends on module drupal_queue,Module beanstalkd 6-ok from project beanstalkd
more_filters,NA,ok,6,6.x-1.0,more_filters,filter,more_filters,Module more_filters 6-ok from project more_filters depends on module filter,Module more_filters 6-ok from project more_filters
hs_content_taxonomy,NA,ok,6,6.x-3.8,hierarchical_select,hierarchical_select,hierarchical_select,Module hs_content_taxonomy 6-ok from project hierarchical_select depends on module hierarchical_select,Module hs_content_taxonomy 6-ok from project hierarchical_select
hs_content_taxonomy,NA,ok,6,6.x-3.8,hierarchical_select,content_taxonomy,hierarchical_select,Module hs_content_taxonomy 6-ok from project hierarchical_select depends on module content_taxonomy,Module hs_content_taxonomy 6-ok from project hierarchical_select
hs_content_taxonomy,NA,ok,6,6.x-3.8,hierarchical_select,hs_taxonomy,hierarchical_select,Module hs_content_taxonomy 6-ok from project hierarchical_select depends on module hs_taxonomy,Module hs_content_taxonomy 6-ok from project hierarchical_select
hs_taxonomy,NA,ok,6,6.x-3.8,hierarchical_select,hierarchical_select,hierarchical_select,Module hs_taxonomy 6-ok from project hierarchical_select depends on module hierarchical_select,Module hs_taxonomy 6-ok from project hierarchical_select
hs_taxonomy,NA,ok,6,6.x-3.8,hierarchical_select,taxonomy,hierarchical_select,Module hs_taxonomy 6-ok from project hierarchical_select depends on module taxonomy,Module hs_taxonomy 6-ok from project hierarchical_select
hs_smallhierarchy,NA,ok,6,6.x-3.8,hierarchical_select,hierarchical_select,hierarchical_select,Module hs_smallhierarchy 6-ok from project hierarchical_select depends on module hierarchical_select,Module hs_smallhierarchy 6-ok from project hierarchical_select
hs_taxonomy_views,NA,ok,6,6.x-3.8,hierarchical_select,hierarchical_select,hierarchical_select,Module hs_taxonomy_views 6-ok from project hierarchical_select depends on module hierarchical_select,Module hs_taxonomy_views 6-ok from project hierarchical_select
hs_taxonomy_views,NA,ok,6,6.x-3.8,hierarchical_select,hs_taxonomy,hierarchical_select,Module hs_taxonomy_views 6-ok from project hierarchical_select depends on module hs_taxonomy,Module hs_taxonomy_views 6-ok from project hierarchical_select
hs_taxonomy_views,NA,ok,6,6.x-3.8,hierarchical_select,views,hierarchical_select,Module hs_taxonomy_views 6-ok from project hierarchical_select depends on module views,Module hs_taxonomy_views 6-ok from project hierarchical_select
hs_menu,NA,ok,6,6.x-3.8,hierarchical_select,hierarchical_select,hierarchical_select,Module hs_menu 6-ok from project hierarchical_select depends on module hierarchical_select,Module hs_menu 6-ok from project hierarchical_select
hs_menu,NA,ok,6,6.x-3.8,hierarchical_select,menu,hierarchical_select,Module hs_menu 6-ok from project hierarchical_select depends on module menu,Module hs_menu 6-ok from project hierarchical_select
